Name,Price,Sold,Date_Crawl,Link_Item
Áo polo nam áo thun nam cổ bẻ tay ngắn chất cotton co dãn thoáng mát kiểu dáng basic PL3506,50.000 - 150.000,152,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-%C3%A1o-thun-nam-c%E1%BB%95-b%E1%BA%BB-tay-ng%E1%BA%AFn-ch%E1%BA%A5t-cotton-co-d%C3%A3n-tho%C3%A1ng-m%C3%A1t-ki%E1%BB%83u-d%C3%A1ng-basic-PL3506-i.470249086.8469078488?sp_atk=18cbe394-b700-49f6-9315-c0a19aa66155&xptdk=18cbe394-b700-49f6-9315-c0a19aa66155
Áo polo nam áo thun nam có cổ ngắn tay trơn chất cotton co dãn thoáng mát dáng basic PL3505,50.000 - 220.000,116,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-%C3%A1o-thun-nam-c%C3%B3-c%E1%BB%95-ng%E1%BA%AFn-tay-tr%C6%A1n-ch%E1%BA%A5t-cotton-co-d%C3%A3n-tho%C3%A1ng-m%C3%A1t-d%C3%A1ng-basic-PL3505-i.470249086.18719211166?sp_atk=e53130ef-fd0e-44b6-a225-789548f77286&xptdk=e53130ef-fd0e-44b6-a225-789548f77286
Mua giá bán buôn/ bán sỉ,50,13,03/12/2022,https://shopee.vn/%C3%81o-polo-vetements-T%C4%90172-i.320081963.20517927719?sp_atk=7bdf4f85-af4a-48a9-aa4a-1bc981b26e6f&xptdk=7bdf4f85-af4a-48a9-aa4a-1bc981b26e6f
Áo polo nam áo thun nam có cổ ngắn tay trơn chất cotton co dãn thoáng mát dáng basic PL3503,50.000 - 180.000,111,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-%C3%A1o-thun-nam-c%C3%B3-c%E1%BB%95-ng%E1%BA%AFn-tay-tr%C6%A1n-ch%E1%BA%A5t-cotton-co-d%C3%A3n-tho%C3%A1ng-m%C3%A1t-d%C3%A1ng-basic-PL3503-i.470249086.19514941918?sp_atk=589bf758-899a-4a55-b3d0-472ca6b036f0&xptdk=589bf758-899a-4a55-b3d0-472ca6b036f0
[Free Ship] ÁO POLO GUCCI HÀNG HOT FULL SIZE:M L XL XXL,50.000 - 250.000,69,03/12/2022,https://shopee.vn/-Free-Ship-%C3%81O-POLO-GUCCI-H%C3%80NG-HOT-FULL-SIZE-M-L-XL-XXL-i.127735940.15761636230?sp_atk=b6c91e31-6855-4bb6-9720-09d8aec67637&xptdk=b6c91e31-6855-4bb6-9720-09d8aec67637
Sale áo thun nam có cổ từ 50kg đến trên 100kg,50,165,03/12/2022,https://shopee.vn/Sale-%C3%A1o-thun-nam-c%C3%B3-c%E1%BB%95-t%E1%BB%AB-50kg-%C4%91%E1%BA%BFn-tr%C3%AAn-100kg-i.27395673.7140712243?sp_atk=2a1d1c7d-c053-4c73-9999-927a851d0c98&xptdk=2a1d1c7d-c053-4c73-9999-927a851d0c98
Áo polo nam MATANO có cổ trụ bẻ dệt sọc và họa tiết đẹp nổi bật. thể hiện cá tính. vải cá sấu cotton phom suông,52,62900,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-MATANO-c%C3%B3-c%E1%BB%95-tr%E1%BB%A5-b%E1%BA%BB-d%E1%BB%87t-s%E1%BB%8Dc-v%C3%A0-h%E1%BB%8Da-ti%E1%BA%BFt-%C4%91%E1%BA%B9p-n%E1%BB%95i-b%E1%BA%ADt-th%E1%BB%83-hi%E1%BB%87n-c%C3%A1-t%C3%ADnh-v%E1%BA%A3i-c%C3%A1-s%E1%BA%A5u-cotton-phom-su%C3%B4ng-i.8015732.11504674171?sp_atk=8de82e14-a4da-47da-882a-501842e72f32&xptdk=8de82e14-a4da-47da-882a-501842e72f32
Áo Phông Nam phối sọc Cao Cấp Áo Polo thom browne Đẹp !,53.128 - 57.566,0,03/12/2022,https://shopee.vn/%C3%81o-Ph%C3%B4ng-Nam-ph%E1%BB%91i-s%E1%BB%8Dc-Cao-C%E1%BA%A5p-%C3%81o-Polo-thom-browne-%C4%90%E1%BA%B9p-!-i.580428836.12395794685?sp_atk=f97cfffb-75fa-48cc-bfb5-c8eaa7f8dfc1&xptdk=f97cfffb-75fa-48cc-bfb5-c8eaa7f8dfc1
Áo Polo nam ĐẸP - cổ trụ thun Phối cao cấp from chuẩn. thiết kế phong cách sang trọng. thấm hút mồ hôi,58.000 - 60.000,13200,03/12/2022,https://shopee.vn/%C3%81o-Polo-nam-%C4%90%E1%BA%B8P-c%E1%BB%95-tr%E1%BB%A5-thun-Ph%E1%BB%91i-cao-c%E1%BA%A5p-from-chu%E1%BA%A9n-thi%E1%BA%BFt-k%E1%BA%BF-phong-c%C3%A1ch-sang-tr%E1%BB%8Dng-th%E1%BA%A5m-h%C3%BAt-m%E1%BB%93-h%C3%B4i-i.8015732.10722170108?sp_atk=bf463533-c648-4d1f-ad75-17c1cdafb1c9&xptdk=bf463533-c648-4d1f-ad75-17c1cdafb1c9
[MẪU POLO-1] ÁO POLO MỸ 2HAND HÀNG TUYỂN (quyensi),59.000 - 75.000,338,03/12/2022,https://shopee.vn/-M%E1%BA%AAU-POLO-1-%C3%81O-POLO-M%E1%BB%B8-2HAND-H%C3%80NG-TUY%E1%BB%82N-(quyensi)-i.78880848.8971145373?sp_atk=29eb988f-ad7e-4b5f-979c-17f2bf043bb0&xptdk=29eb988f-ad7e-4b5f-979c-17f2bf043bb0
